invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I333508,C298338,Female,62,Cosmetics,4,162.64,Cash,4/6/2022,Kanyon
I946392,C198136,Female,56,Food & Beverage,5,26.15,Cash,20/10/2021,Mall of Istanbul
I302373,C285122,Female,18,Toys,2,71.68,Cash,10/11/2022,Kanyon
I318915,C187171,Female,58,Shoes,3,1800.51,Cash,27/10/2021,Forum Istanbul
I257218,C279925,Female,54,Toys,2,71.68,Debit Card,24/05/2022,Kanyon
I289455,C408766,Female,65,Technology,1,1050,Debit Card,11/2/2023,Metrocity
I978693,C178333,Male,59,Cosmetics,1,40.66,Cash,15/10/2022,Kanyon
I793836,C219544,Male,60,Technology,5,5250,Cash,11/6/2022,Mall of Istanbul
I332011,C107741,Female,18,Cosmetics,5,203.3,Credit Card,29/04/2022,Emaar Square Mall
I282017,C129500,Female,24,Clothing,4,1200.32,Cash,2/2/2023,Viaport Outlet
I296657,C345228,Male,20,Cosmetics,2,81.32,Cash,12/1/2023,Mall of Istanbul
I119063,C205339,Male,31,Toys,2,71.68,Credit Card,26/08/2022,Kanyon
I196058,C242348,Female,52,Food & Beverage,5,26.15,Cash,17/05/2021,Metrocity
I835008,C252666,Female,48,Cosmetics,5,203.3,Credit Card,1/11/2022,Mall of Istanbul
I852057,C632595,Female,55,Cosmetics,4,162.64,Debit Card,20/11/2021,Metrocity
I456731,C205613,Female,42,Cosmetics,5,203.3,Cash,29/01/2022,Forum Istanbul
I134854,C148188,Male,46,Cosmetics,2,81.32,Credit Card,5/10/2022,Kanyon
I171775,C160420,Male,65,Clothing,2,600.16,Credit Card,15/04/2022,Zorlu Center
I825581,C114904,Female,46,Souvenir,1,11.73,Credit Card,31/10/2022,Zorlu Center
I187124,C100743,Male,54,Toys,3,107.52,Debit Card,28/02/2022,Mall of Istanbul
I936084,C294099,Female,61,Shoes,4,2400.68,Credit Card,11/2/2022,Kanyon
I481272,C197486,Female,27,Toys,5,179.2,Credit Card,6/11/2022,Metrocity
I144997,C660582,Male,57,Food & Beverage,3,15.69,Debit Card,5/9/2021,Mall of Istanbul
I176337,C302021,Male,38,Clothing,4,1200.32,Cash,14/07/2021,Metropol AVM
I236037,C322319,Female,23,Clothing,2,600.16,Cash,23/01/2023,Mall of Istanbul
I312161,C197942,Female,53,Clothing,3,900.24,Credit Card,5/7/2022,Forum Istanbul
I222740,C294556,Female,40,Toys,3,107.52,Credit Card,14/08/2022,Metrocity
I332112,C303454,Female,26,Souvenir,2,23.46,Credit Card,5/6/2021,Mall of Istanbul
I800272,C292969,Male,54,Shoes,5,3000.85,Debit Card,29/01/2022,Mall of Istanbul
I658459,C144403,Female,39,Shoes,4,2400.68,Credit Card,21/09/2022,Metrocity
I121493,C231281,Female,66,Clothing,1,300.08,Credit Card,21/12/2021,Zorlu Center
I280314,C233136,Male,55,Toys,2,71.68,Credit Card,22/07/2022,Kanyon
I649394,C496288,Male,65,Toys,3,107.52,Credit Card,18/09/2022,Cevahir AVM
I904632,C250716,Female,41,Food & Beverage,4,20.92,Credit Card,3/6/2022,Mall of Istanbul
I317469,C169995,Male,62,Technology,2,2100,Cash,13/05/2021,Mall of Istanbul
I209272,C671487,Female,36,Food & Beverage,4,20.92,Cash,9/4/2022,Kanyon
I259223,C311467,Male,54,Shoes,1,600.17,Cash,5/4/2022,Kanyon
I268539,C817118,Female,54,Food & Beverage,2,10.46,Cash,10/10/2022,Metrocity
I870998,C848941,Male,51,Toys,3,107.52,Cash,6/10/2021,Metropol AVM
I157573,C581968,Female,34,Food & Beverage,5,26.15,Credit Card,20/01/2022,Mall of Istanbul
I335487,C207189,Female,63,Toys,4,143.36,Credit Card,8/5/2022,Mall of Istanbul
I127352,C193169,Female,27,Clothing,1,300.08,Credit Card,22/10/2021,Istinye Park
I206794,C299494,Female,46,Technology,1,1050,Cash,28/11/2021,Kanyon
I718908,C219531,Female,19,Shoes,5,3000.85,Credit Card,19/03/2022,Metropol AVM
I328343,C235361,Female,64,Toys,2,71.68,Cash,27/05/2022,Kanyon
I302464,C120927,Female,30,Clothing,4,1200.32,Credit Card,28/02/2022,Metrocity
I136227,C875100,Male,58,Clothing,2,600.16,Cash,24/08/2021,Metropol AVM
I178536,C844332,Female,27,Clothing,1,300.08,Cash,20/08/2021,Mall of Istanbul
I234851,C230745,Female,67,Clothing,1,300.08,Credit Card,10/7/2022,Istinye Park
I241161,C155003,Female,38,Food & Beverage,1,5.23,Cash,24/06/2022,Metrocity
I201046,C924341,Female,56,Cosmetics,3,121.98,Debit Card,3/4/2022,Metrocity
I121854,C247188,Male,55,Food & Beverage,4,20.92,Cash,9/10/2021,Metrocity
I590868,C599716,Female,52,Clothing,2,600.16,Cash,2/1/2023,Metropol AVM
I425587,C187480,Female,53,Clothing,2,600.16,Cash,29/09/2022,Metrocity
I276277,C246472,Male,20,Cosmetics,1,40.66,Cash,4/6/2021,Istinye Park
I196395,C277306,Female,28,Food & Beverage,2,10.46,Credit Card,23/05/2021,Kanyon
I178271,C272084,Female,47,Clothing,2,600.16,Credit Card,26/01/2021,Metrocity
I105311,C160587,Female,49,Shoes,4,2400.68,Cash,18/07/2022,Kanyon
I811674,C242175,Male,61,Clothing,1,300.08,Debit Card,3/4/2021,Emaar Square Mall
I185282,C241743,Female,18,Clothing,5,1500.4,Credit Card,1/3/2022,Kanyon
I199518,C550907,Male,58,Clothing,4,1200.32,Credit Card,29/03/2022,Istinye Park
I258785,C432427,Male,28,Toys,3,107.52,Cash,26/09/2022,Kanyon
I689538,C202344,Female,33,Clothing,4,1200.32,Cash,15/04/2021,Zorlu Center
I243575,C144989,Female,55,Souvenir,3,35.19,Cash,12/3/2021,Kanyon
I152656,C983775,Female,59,Cosmetics,4,162.64,Cash,17/05/2021,Cevahir AVM
I149685,C203826,Male,38,Books,1,15.15,Credit Card,2/10/2021,Mall of Istanbul
I624887,C170279,Female,41,Shoes,4,2400.68,Debit Card,30/06/2022,Mall of Istanbul
I269552,C101475,Female,53,Food & Beverage,1,5.23,Credit Card,7/3/2022,Forum Istanbul
I214406,C633415,Female,23,Cosmetics,5,203.3,Cash,7/9/2021,Forum Istanbul
I113339,C198365,Female,30,Food & Beverage,5,26.15,Debit Card,31/08/2021,Zorlu Center
I160943,C118059,Female,45,Clothing,2,600.16,Credit Card,18/08/2021,Viaport Outlet
I324302,C306514,Female,37,Shoes,4,2400.68,Cash,11/11/2021,Viaport Outlet
I972246,C258505,Male,66,Shoes,5,3000.85,Credit Card,5/3/2021,Kanyon
I572600,C467276,Male,57,Clothing,4,1200.32,Cash,30/07/2022,Kanyon
I158162,C715427,Female,44,Toys,3,107.52,Credit Card,25/03/2022,Kanyon
I537131,C167727,Female,23,Cosmetics,5,203.3,Debit Card,23/02/2021,Metropol AVM
I297237,C871750,Male,61,Shoes,1,600.17,Cash,19/11/2022,Metrocity
I244651,C366207,Female,46,Clothing,4,1200.32,Credit Card,15/02/2021,Kanyon
I240450,C694395,Male,61,Clothing,1,300.08,Debit Card,2/3/2022,Mall of Istanbul
I516241,C183607,Female,47,Books,5,75.75,Cash,2/10/2021,Viaport Outlet
I181086,C227224,Female,55,Food & Beverage,2,10.46,Debit Card,30/03/2022,Kanyon
I291832,C693724,Female,28,Cosmetics,3,121.98,Credit Card,15/09/2022,Kanyon
I168837,C261303,Female,52,Food & Beverage,2,10.46,Credit Card,20/04/2022,Metrocity
I235430,C262345,Female,34,Clothing,4,1200.32,Debit Card,26/11/2021,Mall of Istanbul
I479426,C311464,Female,43,Shoes,5,3000.85,Credit Card,12/10/2022,Viaport Outlet
I225810,C335065,Female,38,Clothing,2,600.16,Credit Card,4/10/2021,Metropol AVM
I314896,C184486,Female,63,Cosmetics,2,81.32,Debit Card,6/1/2023,Kanyon
I119728,C167509,Female,43,Clothing,1,300.08,Cash,10/6/2021,Metrocity
I172357,C416594,Female,32,Cosmetics,4,162.64,Cash,1/1/2021,Kanyon
I106411,C250274,Female,23,Food & Beverage,2,10.46,Debit Card,16/04/2022,Metrocity
I360989,C247084,Female,29,Shoes,3,1800.51,Credit Card,25/05/2022,Metropol AVM
I397266,C195244,Female,59,Cosmetics,4,162.64,Credit Card,29/10/2022,Zorlu Center
I508931,C154503,Female,37,Clothing,1,300.08,Cash,21/03/2021,Kanyon
I339234,C248337,Female,34,Clothing,4,1200.32,Cash,18/10/2021,Metrocity
I288609,C179298,Female,22,Books,4,60.6,Cash,26/11/2022,Viaport Outlet
I262373,C100006,Male,44,Toys,3,107.52,Credit Card,1/12/2022,Cevahir AVM
I246507,C206514,Female,45,Cosmetics,5,203.3,Debit Card,7/3/2023,Emaar Square Mall
I273516,C958462,Female,55,Shoes,5,3000.85,Debit Card,28/03/2022,Mall of Istanbul
I720093,C181148,Male,48,Technology,1,1050,Cash,22/10/2021,Mall of Istanbul
I280362,C824915,Female,69,Clothing,1,300.08,Credit Card,6/5/2021,Metrocity
I202725,C106464,Male,47,Cosmetics,2,81.32,Cash,23/03/2021,Cevahir AVM
I121270,C278391,Male,39,Food & Beverage,4,20.92,Debit Card,6/5/2022,Mall of Istanbul
I804074,C290714,Male,39,Shoes,5,3000.85,Cash,6/10/2021,Mall of Istanbul
I221385,C105577,Female,26,Toys,4,143.36,Credit Card,5/5/2022,Metropol AVM
I204962,C290845,Female,41,Food & Beverage,5,26.15,Cash,27/10/2022,Mall of Istanbul
I269482,C260174,Female,62,Cosmetics,4,162.64,Credit Card,15/02/2023,Mall of Istanbul
I251179,C160879,Female,39,Cosmetics,2,81.32,Credit Card,6/2/2021,Zorlu Center
I152681,C174146,Female,22,Clothing,3,900.24,Cash,16/07/2021,Viaport Outlet
I297470,C222188,Female,26,Food & Beverage,1,5.23,Cash,29/09/2022,Metropol AVM
I237677,C172251,Male,60,Food & Beverage,4,20.92,Debit Card,11/7/2021,Metropol AVM
I889893,C114922,Female,35,Clothing,1,300.08,Cash,30/01/2023,Istinye Park
I335112,C510210,Female,30,Clothing,4,1200.32,Credit Card,28/07/2021,Mall of Istanbul
I105053,C275649,Female,58,Toys,1,35.84,Credit Card,14/10/2021,Cevahir AVM
I955630,C196948,Female,26,Food & Beverage,1,5.23,Credit Card,3/6/2022,Kanyon
I837483,C321452,Male,48,Clothing,3,900.24,Cash,23/07/2021,Kanyon
I314599,C646654,Male,57,Food & Beverage,2,10.46,Cash,22/02/2023,Cevahir AVM
I178922,C156724,Female,18,Technology,2,2100,Credit Card,17/07/2021,Kanyon
I175744,C719376,Female,36,Clothing,5,1500.4,Credit Card,25/01/2021,Emaar Square Mall
I280775,C949468,Male,39,Food & Beverage,2,10.46,Cash,17/02/2021,Kanyon
I778196,C137625,Female,59,Toys,4,143.36,Cash,17/06/2021,Viaport Outlet
I215139,C973728,Male,36,Clothing,4,1200.32,Debit Card,7/6/2021,Istinye Park
I308803,C332581,Male,50,Shoes,3,1800.51,Debit Card,15/02/2022,Metrocity
I922082,C193164,Male,48,Clothing,2,600.16,Cash,26/04/2021,Kanyon
I330137,C284570,Female,21,Clothing,4,1200.32,Cash,7/1/2021,Istinye Park
I565813,C156055,Female,33,Food & Beverage,3,15.69,Debit Card,20/04/2021,Istinye Park
I290510,C238792,Female,33,Shoes,1,600.17,Debit Card,25/08/2021,Mall of Istanbul
I240898,C263354,Female,30,Shoes,3,1800.51,Credit Card,19/07/2021,Emaar Square Mall
I110269,C634886,Female,28,Shoes,5,3000.85,Cash,27/03/2021,Zorlu Center
I285827,C516440,Male,39,Clothing,3,900.24,Cash,6/8/2022,Mall of Istanbul
I190016,C176078,Female,24,Clothing,5,1500.4,Credit Card,11/2/2022,Zorlu Center
I169719,C175497,Female,26,Toys,1,35.84,Credit Card,24/02/2021,Metropol AVM
I199471,C193740,Male,34,Food & Beverage,3,15.69,Debit Card,3/4/2022,Metrocity
I134323,C561881,Female,31,Food & Beverage,4,20.92,Cash,13/04/2022,Mall of Istanbul
I588753,C131068,Female,61,Technology,2,2100,Debit Card,25/10/2022,Istinye Park
I264804,C125207,Male,58,Clothing,5,1500.4,Cash,14/07/2021,Kanyon
I156620,C244118,Female,60,Clothing,3,900.24,Credit Card,4/11/2021,Zorlu Center
I203057,C322743,Male,31,Clothing,5,1500.4,Cash,14/06/2022,Istinye Park
I114638,C107329,Male,61,Clothing,3,900.24,Credit Card,22/03/2021,Metrocity
I143122,C276676,Female,40,Food & Beverage,1,5.23,Debit Card,16/08/2021,Mall of Istanbul
I173941,C133851,Female,49,Cosmetics,1,40.66,Cash,6/3/2022,Istinye Park
I288375,C161999,Female,26,Food & Beverage,1,5.23,Credit Card,10/8/2022,Metrocity
I194969,C964030,Female,42,Technology,1,1050,Credit Card,10/2/2021,Zorlu Center
I166800,C221636,Male,63,Clothing,5,1500.4,Cash,13/09/2022,Metropol AVM
I984197,C260421,Male,50,Shoes,5,3000.85,Debit Card,6/11/2022,Viaport Outlet
I190735,C110250,Male,28,Shoes,4,2400.68,Credit Card,17/12/2021,Viaport Outlet
I556948,C881748,Female,50,Clothing,3,900.24,Debit Card,4/12/2022,Mall of Istanbul
I780799,C633068,Female,25,Clothing,5,1500.4,Credit Card,19/12/2021,Kanyon
I309290,C190607,Female,21,Shoes,4,2400.68,Cash,28/12/2021,Metropol AVM
I189760,C527840,Female,41,Clothing,3,900.24,Debit Card,21/06/2022,Kanyon
I515323,C518245,Female,56,Clothing,4,1200.32,Credit Card,17/12/2021,Mall of Istanbul
I159249,C823203,Female,45,Clothing,3,900.24,Cash,14/04/2021,Istinye Park
I579439,C416308,Male,24,Clothing,4,1200.32,Credit Card,26/06/2021,Metropol AVM
I136596,C297232,Female,31,Food & Beverage,3,15.69,Debit Card,16/11/2021,Kanyon
I324641,C195476,Male,44,Food & Beverage,1,5.23,Cash,11/1/2022,Zorlu Center
I221053,C204597,Male,64,Technology,3,3150,Cash,30/11/2022,Forum Istanbul
I222114,C135161,Female,35,Clothing,1,300.08,Credit Card,7/6/2021,Cevahir AVM
I293804,C328918,Male,44,Food & Beverage,3,15.69,Debit Card,14/03/2021,Kanyon
I101219,C296170,Female,52,Books,1,15.15,Credit Card,30/04/2022,Kanyon
I321934,C206825,Female,57,Cosmetics,1,40.66,Cash,16/02/2021,Cevahir AVM
I619435,C239165,Male,53,Clothing,2,600.16,Cash,14/09/2022,Metropol AVM
I206468,C209837,Male,65,Food & Beverage,2,10.46,Cash,1/1/2022,Metrocity
I187650,C239999,Female,47,Technology,5,5250,Debit Card,30/04/2022,Istinye Park
I265820,C106906,Female,50,Toys,4,143.36,Cash,10/4/2022,Emaar Square Mall
I546559,C328466,Female,35,Cosmetics,3,121.98,Debit Card,4/4/2022,Forum Istanbul
I501896,C250207,Female,30,Food & Beverage,2,10.46,Cash,10/6/2021,Metrocity
I301866,C179560,Male,30,Technology,4,4200,Credit Card,4/2/2021,Metropol AVM
I641820,C328075,Female,55,Cosmetics,2,81.32,Cash,17/05/2021,Cevahir AVM
I130155,C216342,Female,35,Clothing,2,600.16,Credit Card,4/7/2022,Metrocity
I292548,C631158,Female,63,Food & Beverage,3,15.69,Credit Card,21/08/2021,Metropol AVM
I742453,C216835,Male,51,Clothing,5,1500.4,Cash,31/12/2022,Istinye Park
I216407,C167615,Male,36,Clothing,1,300.08,Cash,31/07/2021,Kanyon
I250710,C326539,Female,45,Cosmetics,5,203.3,Cash,17/03/2021,Metrocity
I214664,C115389,Male,48,Clothing,3,900.24,Cash,14/01/2023,Cevahir AVM
I243749,C157904,Female,21,Books,5,75.75,Credit Card,20/08/2022,Kanyon
I651781,C185995,Male,33,Books,2,30.3,Cash,1/8/2021,Mall of Istanbul
I313279,C127323,Female,50,Technology,2,2100,Cash,23/07/2021,Mall of Istanbul
I243106,C715746,Male,20,Cosmetics,2,81.32,Credit Card,6/5/2022,Mall of Istanbul
I142153,C207336,Female,59,Food & Beverage,1,5.23,Debit Card,16/12/2022,Emaar Square Mall
I144811,C271775,Female,62,Clothing,1,300.08,Cash,29/05/2022,Metropol AVM
I247765,C694882,Female,48,Clothing,1,300.08,Debit Card,2/1/2021,Kanyon
I298560,C286247,Male,52,Food & Beverage,5,26.15,Debit Card,9/1/2021,Cevahir AVM
I893853,C119229,Male,59,Clothing,2,600.16,Cash,24/03/2021,Cevahir AVM
I306488,C220678,Female,34,Food & Beverage,1,5.23,Cash,14/12/2021,Metropol AVM
I229903,C270009,Female,29,Clothing,2,600.16,Debit Card,4/10/2021,Kanyon
I249778,C116431,Female,59,Clothing,1,300.08,Cash,10/2/2021,Metropol AVM
I353378,C264358,Female,29,Clothing,5,1500.4,Credit Card,29/08/2021,Kanyon
I134740,C335621,Female,40,Toys,5,179.2,Debit Card,9/10/2022,Viaport Outlet
I945015,C204605,Male,47,Clothing,1,300.08,Debit Card,26/03/2022,Emaar Square Mall
I233894,C275860,Male,31,Clothing,3,900.24,Cash,17/02/2023,Kanyon
I125370,C267486,Male,45,Cosmetics,1,40.66,Credit Card,13/07/2022,Metropol AVM
I502940,C172359,Male,22,Clothing,3,900.24,Credit Card,26/09/2022,Cevahir AVM
I113818,C262897,Female,25,Clothing,3,900.24,Credit Card,13/12/2021,Istinye Park
I382271,C136799,Female,27,Food & Beverage,2,10.46,Credit Card,4/9/2021,Kanyon
I136769,C971774,Female,35,Cosmetics,5,203.3,Cash,9/10/2022,Forum Istanbul
I628122,C259641,Female,63,Shoes,2,1200.34,Credit Card,7/4/2021,Emaar Square Mall
I206106,C328449,Female,66,Food & Beverage,2,10.46,Debit Card,18/04/2022,Metropol AVM
I134425,C702901,Female,69,Shoes,3,1800.51,Cash,20/09/2021,Kanyon
I327800,C152327,Female,67,Clothing,2,600.16,Credit Card,12/1/2022,Zorlu Center
I295323,C132213,Female,53,Toys,4,143.36,Cash,24/10/2022,Istinye Park
I215822,C158885,Male,21,Cosmetics,1,40.66,Credit Card,20/05/2022,Mall of Istanbul
I407536,C175331,Male,21,Clothing,3,900.24,Cash,30/05/2021,Mall of Istanbul
I262443,C282697,Male,36,Souvenir,3,35.19,Cash,10/10/2022,Forum Istanbul
I184251,C170457,Female,46,Clothing,5,1500.4,Cash,9/3/2021,Kanyon
I107001,C537467,Male,61,Technology,5,5250,Cash,9/9/2021,Mall of Istanbul
I254249,C197865,Female,32,Clothing,2,600.16,Debit Card,15/06/2021,Metrocity
I302154,C264160,Male,67,Cosmetics,3,121.98,Cash,25/05/2021,Mall of Istanbul
I264706,C129888,Male,54,Clothing,3,900.24,Debit Card,25/04/2022,Kanyon
I132113,C311500,Female,47,Souvenir,2,23.46,Credit Card,18/01/2023,Viaport Outlet
I282873,C199192,Female,54,Souvenir,4,46.92,Debit Card,13/02/2022,Cevahir AVM
I313574,C297697,Male,22,Clothing,5,1500.4,Cash,19/12/2022,Forum Istanbul
I248407,C111013,Female,28,Shoes,4,2400.68,Cash,4/11/2022,Mall of Istanbul
I104573,C254489,Female,26,Clothing,3,900.24,Cash,3/11/2021,Metropol AVM
I197646,C181170,Male,43,Clothing,5,1500.4,Cash,14/01/2021,Emaar Square Mall
I881924,C303220,Male,18,Books,3,45.45,Debit Card,19/04/2021,Viaport Outlet
I190002,C181339,Male,58,Food & Beverage,1,5.23,Credit Card,27/05/2022,Forum Istanbul
I239976,C253520,Male,43,Clothing,1,300.08,Cash,28/05/2021,Metrocity
I141042,C216633,Female,61,Clothing,4,1200.32,Cash,26/02/2022,Viaport Outlet
I149051,C242122,Female,24,Shoes,3,1800.51,Credit Card,3/2/2023,Kanyon
I875766,C448594,Female,62,Clothing,1,300.08,Credit Card,14/02/2022,Kanyon
I177102,C198203,Male,23,Technology,4,4200,Cash,28/01/2021,Mall of Istanbul
I236072,C241703,Female,50,Clothing,5,1500.4,Debit Card,25/05/2022,Istinye Park
I902458,C161688,Male,65,Cosmetics,2,81.32,Debit Card,22/12/2022,Mall of Istanbul
I881430,C269193,Female,56,Cosmetics,5,203.3,Credit Card,18/10/2022,Kanyon
I140837,C935695,Female,59,Clothing,2,600.16,Cash,17/02/2023,Metrocity
I242381,C170182,Male,18,Clothing,5,1500.4,Credit Card,28/08/2021,Viaport Outlet
I264363,C303538,Female,58,Cosmetics,4,162.64,Credit Card,4/8/2022,Istinye Park
I250876,C246880,Female,27,Cosmetics,1,40.66,Credit Card,25/01/2021,Metrocity
I103924,C140895,Female,68,Clothing,2,600.16,Credit Card,8/4/2022,Mall of Istanbul
I310777,C187907,Female,52,Toys,2,71.68,Credit Card,14/01/2023,Kanyon
I184855,C764807,Female,36,Clothing,5,1500.4,Credit Card,27/08/2021,Kanyon
I207496,C282649,Female,66,Toys,3,107.52,Credit Card,5/1/2023,Metropol AVM
I200969,C278749,Male,47,Clothing,3,900.24,Cash,2/11/2022,Forum Istanbul
I169184,C228309,Male,63,Clothing,2,600.16,Cash,2/10/2022,Mall of Istanbul
I596317,C171644,Male,36,Technology,5,5250,Credit Card,7/11/2021,Cevahir AVM
I596743,C532504,Male,56,Clothing,3,900.24,Debit Card,11/1/2022,Istinye Park
I276351,C445594,Male,20,Souvenir,4,46.92,Credit Card,23/02/2021,Mall of Istanbul
I213331,C950672,Female,54,Shoes,4,2400.68,Cash,18/05/2021,Kanyon
I870712,C339197,Female,28,Cosmetics,3,121.98,Debit Card,18/06/2022,Mall of Istanbul
I126422,C250294,Female,42,Clothing,3,900.24,Cash,12/2/2022,Forum Istanbul
I137820,C280703,Female,57,Food & Beverage,2,10.46,Credit Card,4/10/2021,Mall of Istanbul
I263833,C898489,Male,56,Cosmetics,5,203.3,Credit Card,19/08/2021,Metrocity
I294948,C178370,Female,56,Clothing,4,1200.32,Debit Card,1/10/2021,Kanyon
I286305,C251939,Female,25,Food & Beverage,2,10.46,Debit Card,24/12/2022,Mall of Istanbul
I361442,C201986,Male,39,Cosmetics,4,162.64,Cash,27/02/2022,Istinye Park
I144679,C513060,Male,18,Toys,4,143.36,Cash,9/8/2022,Istinye Park
I214244,C227744,Male,56,Cosmetics,2,81.32,Credit Card,25/06/2022,Kanyon
I199321,C325500,Male,24,Cosmetics,5,203.3,Cash,21/07/2021,Istinye Park
I915618,C266912,Male,29,Clothing,4,1200.32,Credit Card,7/1/2023,Mall of Istanbul
I206537,C127380,Female,38,Cosmetics,5,203.3,Credit Card,4/2/2023,Kanyon
I253974,C172692,Female,19,Souvenir,4,46.92,Credit Card,2/8/2021,Emaar Square Mall
I195880,C115640,Female,67,Books,3,45.45,Cash,25/01/2021,Kanyon
I146450,C241895,Female,65,Toys,3,107.52,Credit Card,21/01/2022,Cevahir AVM
I181460,C130234,Female,21,Cosmetics,3,121.98,Credit Card,13/07/2021,Viaport Outlet
I282769,C229528,Female,59,Clothing,4,1200.32,Cash,30/08/2022,Cevahir AVM
I679731,C291967,Male,21,Cosmetics,5,203.3,Cash,6/8/2022,Forum Istanbul
I228804,C258573,Female,50,Clothing,5,1500.4,Debit Card,19/09/2022,Metrocity
I248180,C135312,Female,26,Souvenir,4,46.92,Debit Card,22/12/2021,Kanyon
I265425,C678154,Male,51,Cosmetics,2,81.32,Credit Card,20/11/2021,Mall of Istanbul
I156425,C652565,Male,45,Clothing,3,900.24,Cash,12/10/2022,Emaar Square Mall
I292682,C264228,Female,37,Toys,3,107.52,Cash,2/6/2021,Kanyon
I642981,C158134,Male,41,Shoes,1,600.17,Credit Card,29/10/2021,Metropol AVM
I334303,C126980,Male,37,Clothing,2,600.16,Debit Card,27/07/2022,Mall of Istanbul
I563412,C195930,Male,44,Cosmetics,3,121.98,Credit Card,6/1/2023,Kanyon
I148071,C240307,Male,32,Toys,4,143.36,Debit Card,4/11/2022,Zorlu Center
I284895,C140640,Female,25,Technology,1,1050,Credit Card,21/12/2021,Metrocity
I186370,C203375,Male,26,Clothing,4,1200.32,Cash,5/10/2022,Kanyon
I173720,C240725,Female,57,Cosmetics,1,40.66,Debit Card,30/10/2021,Metropol AVM
I245575,C659752,Male,36,Clothing,1,300.08,Cash,22/07/2022,Mall of Istanbul
I301955,C147375,Male,38,Clothing,5,1500.4,Credit Card,10/8/2021,Mall of Istanbul
I424859,C272390,Male,63,Cosmetics,5,203.3,Credit Card,27/08/2022,Metrocity
I289734,C252905,Male,44,Technology,5,5250,Debit Card,28/04/2021,Metropol AVM
I335636,C232250,Female,18,Technology,4,4200,Credit Card,23/09/2022,Metrocity
I252379,C306769,Female,33,Clothing,3,900.24,Cash,16/12/2022,Mall of Istanbul
I326400,C499287,Female,66,Souvenir,1,11.73,Credit Card,24/11/2021,Kanyon
I334950,C306947,Female,61,Toys,2,71.68,Debit Card,24/02/2021,Emaar Square Mall
I160515,C548431,Female,59,Cosmetics,1,40.66,Cash,12/9/2021,Metropol AVM
I488100,C117598,Female,29,Clothing,5,1500.4,Credit Card,27/07/2022,Metrocity
I321865,C495970,Male,59,Food & Beverage,5,26.15,Cash,15/07/2022,Zorlu Center
I276905,C228203,Male,25,Cosmetics,5,203.3,Debit Card,11/5/2022,Forum Istanbul
I116724,C936707,Male,39,Clothing,4,1200.32,Cash,13/09/2022,Kanyon
I221286,C255454,Female,26,Cosmetics,1,40.66,Debit Card,2/3/2022,Viaport Outlet
I239940,C233637,Male,48,Food & Beverage,4,20.92,Cash,8/7/2021,Metropol AVM
I139426,C830389,Female,60,Cosmetics,3,121.98,Debit Card,20/09/2021,Kanyon
I225088,C205393,Male,60,Shoes,5,3000.85,Debit Card,10/2/2021,Mall of Istanbul
I117562,C114188,Female,61,Books,1,15.15,Cash,1/6/2022,Metrocity
I669802,C102179,Female,59,Clothing,3,900.24,Cash,28/03/2021,Istinye Park
I192132,C211569,Male,65,Clothing,1,300.08,Cash,10/4/2021,Viaport Outlet
I906254,C210488,Female,32,Clothing,2,600.16,Debit Card,25/07/2021,Metropol AVM
I304748,C321617,Female,23,Clothing,3,900.24,Debit Card,1/6/2021,Mall of Istanbul
I277168,C187723,Female,48,Cosmetics,2,81.32,Credit Card,15/09/2021,Metrocity
I135151,C158839,Female,37,Shoes,3,1800.51,Cash,12/9/2022,Cevahir AVM
I203816,C287242,Male,24,Clothing,4,1200.32,Debit Card,28/03/2022,Viaport Outlet
I606172,C853281,Female,28,Technology,1,1050,Debit Card,12/2/2022,Mall of Istanbul
I175270,C211771,Female,58,Souvenir,1,11.73,Cash,16/02/2021,Kanyon
I237114,C574013,Female,59,Cosmetics,3,121.98,Cash,3/1/2023,Istinye Park
I328728,C170888,Male,25,Books,4,60.6,Cash,12/7/2022,Kanyon
I272759,C192560,Female,47,Toys,4,143.36,Credit Card,29/03/2022,Metropol AVM
I213558,C255305,Male,66,Clothing,2,600.16,Debit Card,5/8/2021,Kanyon
I148156,C153737,Male,40,Shoes,3,1800.51,Credit Card,14/12/2021,Istinye Park
I755744,C159594,Male,56,Souvenir,4,46.92,Cash,13/01/2022,Istinye Park
I176249,C232484,Female,29,Clothing,1,300.08,Debit Card,3/2/2021,Istinye Park
I969346,C339603,Female,62,Food & Beverage,2,10.46,Cash,26/03/2022,Kanyon
I244826,C897913,Female,44,Cosmetics,3,121.98,Cash,19/09/2021,Kanyon
I268213,C563063,Female,27,Shoes,5,3000.85,Credit Card,2/10/2022,Emaar Square Mall
I148133,C808931,Female,52,Souvenir,5,58.65,Credit Card,23/06/2021,Mall of Istanbul
I176296,C890326,Male,67,Books,4,60.6,Cash,20/04/2021,Metrocity
I105514,C134817,Female,66,Toys,2,71.68,Cash,8/7/2022,Kanyon
I228144,C128500,Male,29,Food & Beverage,5,26.15,Credit Card,30/06/2022,Kanyon
I150009,C146567,Female,32,Clothing,2,600.16,Cash,7/5/2021,Mall of Istanbul
I276355,C135388,Female,51,Clothing,5,1500.4,Cash,19/04/2021,Forum Istanbul
I301033,C121362,Female,51,Clothing,3,900.24,Cash,24/07/2021,Metropol AVM
